,geo,text,user,location,created_at
378,,"  Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tennessee, the state…",ManutdMMM,Earth,2021-02-28 22:07:25
379,,"Finally! DeSantis expands COVID-19 vaccine eligibility to high-risk people under 65 at pharmacies, doctors’ offices: ",heatherschatz,"Jacksonville, FL",2021-02-28 22:06:25
380,,"  &gt; &amp; Texas Dept State Health Services,  as mouth piece, is diverting Covid19 vaccine doses away from…",575haiku,Downtown L.A.,2021-02-28 22:06:23
381,,"  Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tennessee, the state…",ruthyvonnestory,"Mississippi, USA",2021-02-28 22:06:15
382,,    Don't you know how to use Google?I can find you one of a 100… ,WillBlackwater2,Up North,2021-02-28 22:05:33
383,,More than 20 million in Britain get first COVID-19 vaccine dose  ,ReutersUK,"London, United Kingdom",2021-02-28 22:05:08
384,,"  Covid-19 cases in England have fallen 78% since the government imposed a national lockdown on January 4, according to weekly stat…",Abbygai46911767,,2021-02-28 22:05:06
385,,"  Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tennessee, the state…",DebraBa45242156,"Sumter County, FL",2021-02-28 22:04:48
386,,  Gov. DeSantis expands COVID-19 vaccine eligibility for 'high-risk' people 65 and under  …,WFLAJustin,"Tampa, FL",2021-02-28 22:04:40
387,,  FDA advisory panel to review Johnson &amp; Johnson COVID-19 vaccine with thumbs up expected  …,vic_tracy,,2021-02-28 22:04:27
388,,  An interesting point by  on  today: he says states’ coronavirus deaths per capita should be look…,donnystrom,,2021-02-28 22:04:17
389,,  A #US Centers for Disease Control and Prevention advisory panel vote unanimously to recommend Johnson &amp; Johnson's #COVID…,SmallBrotherNWY,Svalbard,2021-02-28 22:03:46
390,,"  &gt; &amp; Texas Dept State Health Services,  as mouth piece, is diverting Covid19 vaccine doses away from…",jb4civilrights,,2021-02-28 22:03:39
391,,"One of Pennsylvania’s largest health networks allowed employees' family members to skip the COVID-19 vaccine line,… ",JamieReports,"Harrisburg, PA",2021-02-28 22:03:32
392,,"  Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tennessee, the state…",simarilian,Oregon,2021-02-28 22:03:04
393,,  Not alarming at all!!! 😂😂😂😂😂35 Michiganders have died after getting the COVID vaccine — but this stat is less alarming…,unsilentwitness,United States,2021-02-28 22:03:03
394,,  We are proud to announce the opening of a COVID-19 vaccination site at AV Fairgrounds available to AV residents starti…,LouieHaro2035,"Lancaster, CA",2021-02-28 22:02:25
395,,"  Vaccines are distributed to each county by the state. Visit the Maryland COVID-19 Vaccine Dashboard at,…",RichMadaleno,"Maryland, USA",2021-02-28 22:02:10
396,,  Pflugerville ISD will pay employees to get COVID-19 vaccine ,LurHur,"Austin, TX",2021-02-28 22:01:55
397,,Thank for pointing out ALL the fears ppl have about this vaccine: Team of health experts act as myth-busters to fig… ,Carmilla5,"Melbourne, Australia",2021-02-28 22:01:53
398,,  Gov. Ron DeSantis expanded COVID-19 vaccine eligibility to allow Floridians younger than 65 who have high-risk medical con…,wyregal,,2021-02-28 22:01:43
399,,"  Dr. Anthony Fauci, the top U.S. infectious-diseases expert, urged Americans to take any of the three approved COVID-19 vaccine…",SandraJNowakow1,,2021-02-28 22:01:38
400,,"  Dr. Anthony Fauci, the top U.S. infectious-diseases expert, urged Americans to take any of the three approved COVID-19 vaccine…",eldingocriollo,por ahi!,2021-02-28 22:01:28
401,,"  Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tennessee, the state…",truetotruth,,2021-02-28 22:01:14
402,,  A #US Centers for Disease Control and Prevention advisory panel vote unanimously to recommend Johnson &amp; Johnson's #COVID…,storksusan,"West Virginia, USA",2021-02-28 22:01:13
403,,"  BMI isn't a foolproof standard to assess potential health risk factors, but an obesity medicine physician said ""it's a good measur…",2Tanks_DRE,Crenshaw X Slauson Ave = The District,2021-02-28 22:01:11
404,,"  Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tennessee, the state…",PaulaKnowlton2,"Ohio, USA",2021-02-28 22:00:57
405,,  WASHINGTON — A U.S. advisory panel has endorsed the new one-dose COVID-19 vaccine from Johnson &amp; Johnson as a third option…,billpostmus,California & Idaho,2021-02-28 22:00:55
406,,Our colleagues continue to do remarkable work in extraordinary circumstances. A COVID-19 vaccine is essential in ke… ,ELHT_NHS,East Lancashire,2021-02-28 22:00:30
407,,Gov. Ron DeSantis expanded COVID-19 vaccine eligibility to allow Floridians younger than 65 who have high-risk medi… ,SunSentinel,South Florida,2021-02-28 22:00:29
408,,  A U.S. advisory panel has endorsed the new one-dose COVID-19 vaccine from Johnson &amp; Johnson as a third option to bolster t…,CoronaUpdateBot,,2021-02-28 22:00:23
409,,"Vaccines are distributed to each county by the state. Visit the Maryland COVID-19 Vaccine Dashboard at,… ",MoCoDHHS,"Rockville, MD",2021-02-28 22:00:22
410,,"Vaccines are distributed to each county by the state. Visit the Maryland COVID-19 Vaccine Dashboard at,… ",mchealthconnect,Maryland,2021-02-28 22:00:22
411,,A U.S. advisory panel has endorsed the new one-dose COVID-19 vaccine from Johnson &amp; Johnson as a third option to bo… ,ABC7Chicago,"Chicago, Illinois",2021-02-28 22:00:18
412,,  Trials testing the COVID-19 vaccine in children are underway. ,Kristin62444837,,2021-02-28 22:00:15
413,,We are proud to announce the opening of a COVID-19 vaccination site at AV Fairgrounds available to AV residents sta… ,cityoflancaster,"Lancaster, CA",2021-02-28 22:00:15
414,,"  Lying #POSer Lara Anton  of TX Dept State Health Services says no, ""they just aren't being allowed to get dos…",debbie_dease,"Florida, USA",2021-02-28 22:00:09
415,,"Minnesota reported administering 70,000 vaccine doses in the last day. Of those, 47,000 were reported to be initial… ",keloland,Sioux Falls,2021-02-28 22:00:08
416,,"  &gt; &amp; Texas Dept State Health Services,  as mouth piece, is diverting Covid19 vaccine doses away from…",JulieLaCroix11,,2021-02-28 22:00:05
417,,The United States is now getting a third COVID-19 vaccine. ,THV11,"Little Rock, Arkansas",2021-02-28 22:00:00
418,,  A #US Centers for Disease Control and Prevention advisory panel vote unanimously to recommend Johnson &amp; Johnson's #COVID…,razcolnicov,México,2021-02-28 21:59:54
419,,  A #US Centers for Disease Control and Prevention advisory panel vote unanimously to recommend Johnson &amp; Johnson's #COVID…,thedevil_ind,India,2021-02-28 21:59:43
420,,"  Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tennessee, the state…",Brianyombo,,2021-02-28 21:59:26
421,,"  Covid-19 cases in England have fallen 78% since the government imposed a national lockdown on January 4, according to weekly stat…",norhanali02,,2021-02-28 21:59:18
422,,"  Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tennessee, the state…",Steffan99992160,,2021-02-28 21:59:18
423,,  A #US Centers for Disease Control and Prevention advisory panel vote unanimously to recommend Johnson &amp; Johnson's #COVID…,cdavanis,"Strasbourg, France",2021-02-28 21:59:02
424,,ALERT: CDC Panel Endorses Johnson &amp; Johnson's One-DoseCOVID-19 Vaccine - Global Pandemic News | #Coronavirus… ,GlobalPandemics,WORLDWIDE,2021-02-28 21:58:53
425,,"  Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tennessee, the state…",savaslab,St. John's,2021-02-28 21:58:53
426,,  A U.S. Centers for Disease Control and Prevention panel has endorsed the new one-dose COVID-19 vaccine from Johnson &amp; Johnson as a…,nessatism,pennsylvania,2021-02-28 21:58:46
427,,"  &gt; &amp; Texas Dept State Health Services,  as mouth piece, is diverting Covid19 vaccine doses away from…",ArriolaAnn,"Sunshine Estates, San Antonio",2021-02-28 21:58:42
428,,"know your audience, vaccine edition:",Azi,"New York, NY",2021-02-28 21:58:41
429,,"  JUST IN: Johnson &amp; Johnson’s coronavirus vaccine was cleared for use in the U.S., making a third shot available that could pl…",gme_market,"Denver, CO",2021-02-28 21:58:41
430,,  A #US Centers for Disease Control and Prevention advisory panel vote unanimously to recommend Johnson &amp; Johnson's #COVID…,CoronaUpdateBot,,2021-02-28 21:58:41
431,,  Health unit gives update on immunization plans: Shipments expected this week and next; ‘absolute refusers’ won’t take vaccine…,2THETEEOFF,Sault Ste. Marie,2021-02-28 21:58:37
432,,A #US Centers for Disease Control and Prevention advisory panel vote unanimously to recommend Johnson &amp; Johnson's… ,AlArabiya_Eng,Dubai,2021-02-28 21:58:35
433,,"  Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tennessee, the state…",SQURRILGURL,"Ohio, USA",2021-02-28 21:58:31
434,,"     Mild symptoms? You mean like blindness, st… ",MrsSMHI,"Hampshire, UK",2021-02-28 21:58:31
435,,"  Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tennessee, the state…",GovSherazKhan,,2021-02-28 21:58:24
436,," In Germany they don’t see their teachers as enemies, they vaccinate them as a priority group. “Teachers in… ",OOrlova,London,2021-02-28 21:58:23
437,,"  Update to Pfizer and Oxford side effects, Reports: 22 Feb Pfizer:  Reactions:  77,207    Blindness:  9    Deaths: 197O…",geometamorph,England,2021-02-28 21:58:20
438,,  A U.S. Centers for Disease Control and Prevention panel has endorsed the new one-dose COVID-19 vaccine from Johnson &amp; Johnson as a…,newshen857,Online,2021-02-28 21:58:16
439,,"  JUST IN: Johnson &amp; Johnson’s coronavirus vaccine was cleared for use in the U.S., making a third shot available that could pl…",stonkmeister2,,2021-02-28 21:58:13
440,,  South Africa has signed an agreement with Johnson &amp; Johnson to secure 11 million COVID-19 vaccine doses and will ease r…,washmaskrefresh,Gent Vlaanderen ,2021-02-28 21:58:09
441,,  A U.S. Centers for Disease Control and Prevention panel has endorsed the new one-dose COVID-19 vaccine from Johnson &amp; Johnson as a…,Steffan99992160,,2021-02-28 21:57:44
442,,  South Africa has signed an agreement with Johnson &amp; Johnson to secure 11 million COVID-19 vaccine doses and will ease r…,NyawiraNjoroge,"Chicago, IL",2021-02-28 21:57:32
443,,"  Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tennessee, the state…",DisneyMaddux,Disney World (I wish),2021-02-28 21:57:30
444,,"  DeSantis expands COVID-19 vaccine eligibility to high-risk people under 65 at pharmacies, doctors’ offices …",krosarion,South Florida,2021-02-28 21:57:25
445,,"  JUST IN: Johnson &amp; Johnson’s coronavirus vaccine was cleared for use in the U.S., making a third shot available that could pl…",NatasaPanaki,Greece,2021-02-28 21:57:06
446,,"  Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tennessee, the state…",NoMoeTrouble,Matthew 24:4-31 Kjv,2021-02-28 21:57:06
447,,"  Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tennessee, the state…",JENNontheRocks_,Not in courtroom 502,2021-02-28 21:57:00
448,,"  Update to Pfizer and Oxford side effects, Reports: 22 Feb Pfizer:  Reactions:  77,207    Blindness:  9    Deaths: 197O…",fionapanc,United Kingdom,2021-02-28 21:56:53
449,,A U.S. advisory panel has endorsed the new one-dose COVID-19 vaccine from Johnson &amp; Johnson as a third option to bo… ,Channel8ABC,"Lincoln, Nebraska",2021-02-28 21:56:49
450,,"  Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tennessee, the state…",freenc2018,NC,2021-02-28 21:56:44
451,,"  Update to Pfizer and Oxford side effects, Reports: 22 Feb Pfizer:  Reactions:  77,207    Blindness:  9    Deaths: 197O…",DebraClaridge, Not City of London !!!,2021-02-28 21:56:32
452,,  GPs say they’re “utterly disgusted” DHB staff got priority over them for COVID19 vaccines. Emails Newshub has show DHB s…,shazzz66,New Zealand,2021-02-28 21:56:22
453,,"  JUST IN: Johnson &amp; Johnson’s coronavirus vaccine was cleared for use in the U.S., making a third shot available that could pl…",SherylSasko1,,2021-02-28 21:56:15
454,,"  Dr. Anthony Fauci, the top U.S. infectious-diseases expert, urged Americans to take any of the three approved COVID-19 vaccine…",cymaronet,,2021-02-28 21:56:08
455,,"  DeSantis expands COVID-19 vaccine eligibility to high-risk people under 65 at pharmacies, doctors’ offices …",melissa_529_,"Florida, USA",2021-02-28 21:56:01
456,,  WASHINGTON — A U.S. advisory panel has endorsed the new one-dose COVID-19 vaccine from Johnson &amp; Johnson as a third option…,ultradeadd,1965,2021-02-28 21:55:58
457,,Fauci warns against complacency as COVID-19 cases begin to plateau despite vaccine ,gene038,,2021-02-28 21:55:54
458,,  Kansas GOP continues to display how badly they'd handle the COVID-19 pandemic if they were left in charge. …,CrazyRodman,"Springhill,Ks.",2021-02-28 21:55:49
459,,"  &gt; &amp; Texas Dept State Health Services,  as mouth piece, is diverting Covid19 vaccine doses away from…",liberalgirl3,Florida,2021-02-28 21:55:42
460,,"Some say the newly approved COVID-19 vaccine is a ""game changer"" for hard-to-reach urban and rural areas… ",aldotcom,Alabama,2021-02-28 21:55:39
461,,WASHINGTON — A U.S. advisory panel has endorsed the new one-dose COVID-19 vaccine from Johnson &amp; Johnson as a third… ,ZekeJMiller,"Washington, DC",2021-02-28 21:55:38
462,,"  Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tennessee, the state…",shyredmd,"Delaware, USA",2021-02-28 21:55:15
463,,  Gov. DeSantis expands COVID-19 vaccine eligibility for 'high-risk' people 65 and under  …,melissa_529_,"Florida, USA",2021-02-28 21:55:11
464,,Johnson &amp; Johnson vaccine gets CDC thumbs-up; Fauci says easing restrictions is 'risky' as decline in cases stalls:… ,NAVARRE__,Southern U.S. ,2021-02-28 21:55:10
465,,  More than 20 million people across the UK have received their first COVID-19 vaccine shot as the country makes progress with E…,62_elizay,West Gladstone QLD Australia,2021-02-28 21:55:01
466,,Gov. #Beshear of #Kentucky says his state is leading in the rush to #vaccinate #teachers. #coronavirus #Covid_19 #unitedstates #US #vaccine,Moritzbhg,,2021-02-28 21:54:59
467,,"  &gt; &amp; Texas Dept State Health Services,  as mouth piece, is diverting Covid19 vaccine doses away from…",jmreycroft,West Central Florida ,2021-02-28 21:54:45
468,,  A new lockdown has been imposed across the West Bank as Palestinians face a fresh surge of coronavirus cases and a continued w…,Steffan99992160,,2021-02-28 21:54:41
469,,  Kansas GOP continues to display how badly they'd handle the COVID-19 pandemic if they were left in charge. …,femmekatz,"Manhattan, KS",2021-02-28 21:54:39
470,,"  Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tennessee, the state…",MaryJan62216031,,2021-02-28 21:54:38
471,,"  Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tennessee, the state…",CoronaUpdateBot,,2021-02-28 21:54:35
472,,"Coronavirus vaccines were allegedly stolen and two children were wrongly administered shots in Shelby County, Tenne… ",ABC,New York City / Worldwide,2021-02-28 21:54:30
473,,"  Dr. Anthony Fauci, the top U.S. infectious-diseases expert, urged Americans to take any of the three approved COVID-19 vaccine…",SalimBinHumaidA,"Muscat, Oman",2021-02-28 21:54:06
474,,"  *U.S. authorizes J&amp;J's COVID-19 vaccine, making it third available -  $JNJ …",EmperorChang21,,2021-02-28 21:54:06
475,,"  Dr. Anthony Fauci, the top U.S. infectious-diseases expert, urged Americans to take any of the three approved COVID-19 vaccine…",dprnesq,San Francisco Bay Area,2021-02-28 21:54:02
476,,"DeSantis expands COVID-19 vaccine eligibility to high-risk people under 65 at pharmacies, doctors’ offices ",GabbieKDrice,"Florida, USA",2021-02-28 21:53:55
477,,"  DeSantis expands COVID-19 vaccine eligibility to high-risk people under 65 at pharmacies, doctors’ offices (via …",jennifermarcial,Puerto Rico,2021-02-28 21:53:45
478,,  A U.S. advisory panel has endorsed the one-dose #COVID_19 #vaccine from Johnson &amp; Johnson as a third option in the fight again…,dprnesq,San Francisco Bay Area,2021-02-28 21:53:21
479,,  Today on #SundayTODAY: A live report from Johnson &amp; Johnson’s headquarters after the FDA granted emergency use authorization…,vdavis114,"Clinton, MD",2021-02-28 21:52:53
480,,Here is how #johnsonandjohnson #vaccine differs from #Phizer's and #Moderna's. #COVID_19 #coronavirus #vaccine,Moritzbhg,,2021-02-28 21:52:50
481,,  COVID-19 vaccine: 20 million people have received first coronavirus jab in UK ,Lola_2004,Sense advocat?,2021-02-28 21:52:30
482,,  A U.S. advisory panel has endorsed the new one-dose COVID-19 vaccine from Johnson &amp; Johnson as a third option to bolst…,dayoconnect,"Nigeria, Africa.",2021-02-28 21:52:25
483,,"  JUST IN: Johnson &amp; Johnson’s coronavirus vaccine was cleared for use in the U.S., making a third shot available that could pl…",mikecokere,On your device.,2021-02-28 21:52:06
484,,  A U.S. advisory panel has endorsed the one-dose #COVID_19 #vaccine from Johnson &amp; Johnson as a third option in the fight again…,QtSO4S7vbxDV5AV,ВЬЕТНАМ...РОССИЯ...КИТАЙ...США,2021-02-28 21:51:48
485,,  Kansas GOP continues to display how badly they'd handle the COVID-19 pandemic if they were left in charge. …,20XTS14,"Kansas, USA",2021-02-28 21:51:22
486,,"  Update to Pfizer and Oxford side effects, Reports: 22 Feb Pfizer:  Reactions:  77,207    Blindness:  9    Deaths: 197O…",5and20to5,"Barnsley, England",2021-02-28 21:51:21
487,,"  Dr. Anthony Fauci, the top U.S. infectious-diseases expert, urged Americans to take any of the three approved COVID-19 vaccine…",DinaSCintron,"Portland, OR",2021-02-28 21:51:20
488,,"   3,862 vaccine does administered in 🔵 VIC ",girl_lockdown,"Melbourne, Victoria",2021-02-28 21:51:10
489,,  GPs say they’re “utterly disgusted” DHB staff got priority over them for COVID19 vaccines. Emails Newshub has show DHB s…,KENNETHROMER,"Wellington City, New Zealand",2021-02-28 21:50:34
490,,  A U.S. Centers for Disease Control and Prevention panel has endorsed the new one-dose COVID-19 vaccine from Johnson &amp; Johnson as a…,gpapademos86,Greece,2021-02-28 21:50:33
491,,"  Meet Dr. , the Saudi epidemiologist heading the incredible team of researchers working on KSA's first coro…",azhar2_a,المملكة العربية السعودية,2021-02-28 21:50:30
492,,"As expected, a #CDC panel of experts endorsed the #johnsonandjohnson #vaccine. #Covid_19 #coronavirus",Moritzbhg,,2021-02-28 21:50:21
493,,"  JUST IN: Johnson &amp; Johnson’s coronavirus vaccine was cleared for use in the U.S., making a third shot available that could pl…",ChristopherSeuc,"Los Angeles, CA",2021-02-28 21:50:16
494,,Kate Middleton and Prince William reveal stance on getting COVID-19 vaccine  ,chiquitolindo0,Altagracia De Orituco,2021-02-28 21:49:35
495,,"  &gt; &amp; Texas Dept State Health Services,  as mouth piece, is diverting Covid19 vaccine doses away from…",MethodistMrs,,2021-02-28 21:49:27
496,,Kansas GOP continues to display how badly they'd handle the COVID-19 pandemic if they were left in charge. ,KansasDems,The Sunflower State,2021-02-28 21:49:00
497,,"  DeSantis expands COVID-19 vaccine eligibility to high-risk people under 65 at pharmacies, doctors’ offices …",XanderTaylor3,"North Palm Beach, FL",2021-02-28 21:48:39
498,,"Texas is diverting thousands of COVID-19 vaccine doses away from Dallas County, Judge Jenkins says #SmartNews  ",keithjones1969,,2021-02-28 21:48:33
499,,"  Dr. Anthony Fauci, the top U.S. infectious-diseases expert, urged Americans to take any of the three approved COVID-19 vaccine…",luciaruggiero,Washington DC,2021-02-28 21:48:02
500,,  A new lockdown has been imposed across the West Bank as Palestinians face a fresh surge of coronavirus cases and a continued w…,youngwd1,Aberdeen,2021-02-28 21:47:57
501,,  A U.S. Centers for Disease Control and Prevention panel has endorsed the new one-dose COVID-19 vaccine from Johnson &amp; Johnson as a…,allwhiten,,2021-02-28 21:47:44
502,,  #COVID19 VACCINE UPDATE: Daily figures on the number of people who have received a COVID-19 vaccine in the UK.As of 28 Feb…,DrBesi_Med_Info,"©DBMI 2014-2021, London, UK.",2021-02-28 21:47:32
503,,  #COVID19 VACCINE UPDATE: Daily figures on the number of people who have received a COVID-19 vaccine in the UK.As of 28 Feb…,Elmihamza95,"London, England",2021-02-28 21:47:28
504,,"   3,862 vaccine does administered in 🔵 VIC ",kazza264,,2021-02-28 21:47:14
505,,Czech president Zeman reveals Prague has asked Putin to supply Sputnik V Covid-19 vaccine without EU drug watchdog… ,Bodhisunya,Nepal,2021-02-28 21:46:50
506,,"  🍊💪  will reopen online appointments for COVID-19 vaccinations at  with limited appt. availability Monday, Ma…",orlandomayor,Orlando,2021-02-28 21:46:42
507,,  The number of people eligible for the vaccine currently has been expanded. Every adult who is registered on a GP learning d…,PhilipRead1,England,2021-02-28 21:46:25
508,,COVID-19 vaccine: 20 million people have received first coronavirus jab in UK ,davidrieff,,2021-02-28 21:46:23
509,,"  DeSantis expands COVID-19 vaccine eligibility to high-risk people under 65 at pharmacies, doctors’ offices …",JustTheFacts37,DeSantis’s COVID Wonderland,2021-02-28 21:46:15
510,,"  JUST IN: Johnson &amp; Johnson’s coronavirus vaccine was cleared for use in the U.S., making a third shot available that could pl…",PeterAndreou,Buckhurst Hill,2021-02-28 21:46:11
511,,  A U.S. Centers for Disease Control and Prevention panel has endorsed the new one-dose COVID-19 vaccine from Johnson &amp; Johnson as a…,bigmanhimself,,2021-02-28 21:46:10
512,,  A U.S. advisory panel has endorsed the new one-dose COVID-19 vaccine from Johnson &amp; Johnson as a third option to bolst…,smsaloom01,,2021-02-28 21:45:45
513,,⁦⁩ is this your doing? ,nyamentikeely,,2021-02-28 21:45:38
514,,  A new lockdown has been imposed across the West Bank as Palestinians face a fresh surge of coronavirus cases and a continued w…,Angel_Haynes63,,2021-02-28 21:45:17
515,,"  Dr. Anthony Fauci, the top U.S. infectious-diseases expert, urged Americans to take any of the three approved COVID-19 vaccine…",bigmanhimself,,2021-02-28 21:45:15
516,,  A new lockdown has been imposed across the West Bank as Palestinians face a fresh surge of coronavirus cases and a continued w…,IoanaBarna2,United Kingdom,2021-02-28 21:45:11
517,,South Africa has signed an agreement with Johnson &amp; Johnson to secure 11 million COVID-19 vaccine doses and will ea… ,Reuters_Health,,2021-02-28 21:45:06
518,,"  Dr. Anthony Fauci, the top U.S. infectious-diseases expert, urged Americans to take any of the three approved COVID-19 vaccine…",BreakingNuts,USA,2021-02-28 21:45:05
519,,  The Philippines has received its first batch of COVID-19 vaccine. It is among the last in Southeast Asia to secure the critical dos…,MJShanklinRN,WV/NC CA NV CA VA NM KS ,2021-02-28 21:45:00
520,,"Why Local News matters No. 3 Via  A politically-connected developer offered residents of two upscale, gat… ",PottstownNews,"Pottstown, PA",2021-02-28 21:45:00
521,,  Here - And here:  ,BritishPolitico,,2021-02-28 21:44:57
522,, Any update on the Herbal Medicine FDA approved for clinical trial on Covid-19 treatment? This is ver… ,TheVill60772553,@TheVillage,2021-02-28 21:44:26
523,,"  JUST IN: Johnson &amp; Johnson’s coronavirus vaccine was cleared for use in the U.S., making a third shot available that could pl…",AlFarr12,,2021-02-28 21:44:26
524,,  GPs say they’re “utterly disgusted” DHB staff got priority over them for COVID19 vaccines. Emails Newshub has show DHB s…,cheers_chun,"Wellington, New Zealand",2021-02-28 21:44:18
525,, Any update on the Herbal Medicine FDA approved for clinical trial on Covid-19 treatment? This is… ,TheVill60772553,@TheVillage,2021-02-28 21:43:51
526,,"  JUST IN: Johnson &amp; Johnson’s coronavirus vaccine was cleared for use in the U.S., making a third shot available that could pl…",SKay45,NONE YA BUSINESS,2021-02-28 21:43:44
527,,"  DeSantis expands COVID-19 vaccine eligibility to high-risk people under 65 at pharmacies, doctors’ offices …",Danmartinez305,"Florida, USA",2021-02-28 21:43:39
528,,"  Dr. Anthony Fauci, the top U.S. infectious-diseases expert, urged Americans to take any of the three approved COVID-19 vaccine…",tingley_hunter,"Austin, TX",2021-02-28 21:43:39
529,,Johnson &amp; Johnson vaccine gets CDC thumbs-up; Fauci says easing restrictions is 'risky' as decline in cases stalls:… ,medigrl,California,2021-02-28 21:43:27
530,,  A U.S. Centers for Disease Control and Prevention panel has endorsed the new one-dose COVID-19 vaccine from Johnson &amp; Johnson as a…,WadeMcCarley,,2021-02-28 21:43:09
531,,"  Dr. Anthony Fauci, the top U.S. infectious-diseases expert, urged Americans to take any of the three approved COVID-19 vaccine…",akonai958,,2021-02-28 21:42:34
532,,"  BMI isn't a foolproof standard to assess potential health risk factors, but an obesity medicine physician said ""it's a good measur…",HappilyNappyMe,Digital World,2021-02-28 21:42:13
533,,  Dr. Anthony Fauci did not mince words when it came to the recently authorized Johnson &amp; Johnson COVID-19 vaccine. http…,AlyRoseProuty,"Milwaukee, WI",2021-02-28 21:42:08
534,,  Volunteers in Maryland are helping secure COVID-19 vaccine appointments for people who live in the state or work there a…,MyDCANews,"Washington, DC",2021-02-28 21:42:03
535,,"""A single dose of Pfizer and BioNtech’s COVID-19 vaccine cuts the number of asymptomatic infections and could signi… ",RichDuszak,"Atlanta, GA",2021-02-28 21:42:01
536,,  A U.S. Centers for Disease Control and Prevention panel has endorsed the new one-dose COVID-19 vaccine from Johnson &amp; Johnson as a…,70sChickadee,United States,2021-02-28 21:41:55
537,,"  In a global pandemic, no one is safe until everyone is safe. COVAX—a global vaccine coalition—is working to get safe C…",D_lord_of_MEDIA,,2021-02-28 21:41:51
538,,  Goff: Aucklanders must get Covid vaccine first — city loses $30m a day in lockdown  …,alamsandhu01,"Hamilton City, New Zealand",2021-02-28 21:41:23
539,,"  &gt; &amp; Texas Dept State Health Services,  as mouth piece, is diverting Covid19 vaccine doses away from…",JeffCrowder16,,2021-02-28 21:41:20
540,,"  Even if you've had the #COVID19 vaccine, it's still really important to follow government guidelines and stay at home 🏠…",WAFCN,,2021-02-28 21:41:13
541,,"  JUST IN: Johnson &amp; Johnson’s coronavirus vaccine was cleared for use in the U.S., making a third shot available that could pl…",joserod100,Sur del Rio Grande,2021-02-28 21:41:11
542,,  A U.S. Centers for Disease Control and Prevention panel has endorsed the new one-dose COVID-19 vaccine from Johnson &amp; Johnson as a…,Onesweetday78,Korea,2021-02-28 21:41:07
543,,  COVID-19 VACCINE: COVID-19 vaccine appointments are now open for next week at the Kern County Fairgrounds’ mass vaccination c…,chexx__m,Yeehawlandia ,2021-02-28 21:41:03
544,,  A U.S. advisory panel has endorsed the one-dose #COVID_19 #vaccine from Johnson &amp; Johnson as a third option in the fight again…,cirquelar,Mars via JPL via Surf City,2021-02-28 21:40:35
545,,  There are no deaths - which is clearly marked. ,The_Ouroboros__,,2021-02-28 21:40:12
546,,  A U.S. advisory panel has endorsed the new one-dose COVID-19 vaccine from Johnson &amp; Johnson as a third option to bolst…,allanjohnsin,"Accra, Ghana",2021-02-28 21:39:51
547,,"  Have you had your COVID-19 vaccine?There is still a risk you could spread coronavirus, even after you have been vaccinated…",midhal,The Lake District - Cumbria ,2021-02-28 21:39:46
548,,"  Dr. Anthony Fauci, the top U.S. infectious-diseases expert, urged Americans to take any of the three approved COVID-19 vaccine…",boggskmb2,"California, USA",2021-02-28 21:39:40
549,,"  Dr. Anthony Fauci, the top U.S. infectious-diseases expert, urged Americans to take any of the three approved COVID-19 vaccine…",PeterWairama,,2021-02-28 21:39:38
550,,"  Dr. Anthony Fauci, the top U.S. infectious-diseases expert, urged Americans to take any of the three approved COVID-19 vaccine…",allanjohnsin,"Accra, Ghana",2021-02-28 21:39:33
551,,"  Dr. Anthony Fauci, the top U.S. infectious-diseases expert, urged Americans to take any of the three approved COVID-19 vaccine…",cmodowd,,2021-02-28 21:39:20
552,,  Goff: Aucklanders must get Covid vaccine first — city loses $30m a day in lockdown  …,CurrencyFM,,2021-02-28 21:39:18
553,,  More than 20 million in Britain get first COVID-19 vaccine dose  ,ngonlain,,2021-02-28 21:39:15
554,,"  Dr. Anthony Fauci, the top U.S. infectious-diseases expert, urged Americans to take any of the three approved COVID-19 vaccine…",SheeGhee,California,2021-02-28 21:39:14
555,, 😪 LORD HELP,unoankh,EARTH ,2021-02-28 21:38:47
