,count,word
0,412,vaccine
1,218,johnson
2,143,amp
3,87,fauci
4,87,panel
5,75,new
6,68,coronavirus
7,67,cases
8,66,onedose
9,64,endorsed
10,62,health
11,58,begin
12,56,despite
13,56,warns
14,56,complacency
15,56,plateau
16,55,people
17,48,said
18,46,doses
19,44,medicine
