,count,word
0,17,vaccine
1,5,novavax
2,4,trial
3,4,people
4,3,administered
5,3,vic
6,3,million
7,3,does
8,2,britain
9,2,fear
10,2,fell
11,2,variants
12,2,rise
13,2,experts
14,2,coronavirus
15,2,indias
16,2,enrolling
17,2,april
18,2,start
19,2,marked
