,count,word
0,32,vaccine
1,14,johnson
2,11,amp
3,6,fauci
4,6,news
5,6,pfizer
6,6,coronavirus
7,5,shot
8,5,million
9,4,dr
10,4,said
11,4,dose
12,4,johnsons
13,4,cases
14,4,received
15,4,britain
16,4,feb
17,3,plans
18,3,reports
19,3,deaths
